acr,name,database
CHN,Cochin Condensate,condensates
CRW,Condensate Blend,condensates
CFT,Fort Saskatchewan Condensate,condensates
CPR,Peace Condensate,condensates
CPM,Pembina Condensate,condensates
CRL,Rangeland Condensate,condensates
SLD,Southern Lights Diluent,condensates
FD,Federated,crudes
MPR,Peace,crudes
MSY,Light Smiley,crudes
P,Pembina,crudes
MSW,Mixed Sweet Blend,crudes
RA,Rainbow,crudes
BCL,BC Light,crudes
BDY,Boundary Lake,crudes
CAL,Koch Alberta,crudes
MJT,Moose Jaw Tops,crudes
PLS,Pembina Light Sour,crudes
CHV,Conventional Heavy,crudes
HSC,Hardisty Synthetic Crude,crudes
LSB,Light Sour Blend,crudes
MSB,Medium Sour Blend,crudes
PCH,Premium Conventional Heavy,crudes
PSY,Premium Synthetic,crudes
SYB,Synbit Blend,crudes
SYN,Synthetic Sweet Blend,crudes
CNS,CNRL Light Sweet Synthetic,crudes
HSB,Husky Synthetic Blend,crudes
OSA,Suncor Synthetic A,crudes
PAS,Premium Albian Synthetic,crudes
PSC,Long Lake Light Synthetic,crudes
SSP,Syncrude Sweet Premium,crudes
SSX,Shell Synthetic Light,crudes
MBL,Hardisty Light,crudes
MGS,Medium Gibson Sour,crudes
MSM,Midale,crudes
SPR,Peace Pipe Sour,crudes
BRN,Bow River North,crudes
BRS,Bow River South,crudes
F,Fosterton,crudes
LLB,Lloyd Blend,crudes
LLK,Lloyd Kerrobert,crudes
SC,Smiley-Coleville,crudes
SH,Seal Heavy,crudes
WCB,Western Canadian Blend,crudes
WH,Wabasca Heavy,crudes
AWB,Access Western Blend,crudes
BHB,Borealis Heavy Blend,crudes
CDB,Christina Dilbit Blend,crudes
CL,Cold Lake,crudes
FRB,Fort Hills Dilbit,crudes
KDB,Kearl Lake,crudes
LCB,Leismer Corner Blend,crudes
WCS,Western Canadian Select,crudes
WDB,Western Canada Dilbit,crudes
PSH,Long Lake Heavy,crudes
PXB,PetroChina Blend,crudes
SCS,Statoil Cheecham Synbit,crudes
SHB,Surmont Heavy Blend,crudes
AHS,Albian Heavy Synthetic,crudes
OSH,Suncor Synthetic H,crudes
